Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,Cloud
21/03/2021,6.8,9.3,4.4,0,1025.3,304,21,2
20/03/2021,7.5,10.7,4.2,0,1019.2,327,21,2
19/03/2021,8.6,12.9,4.2,0.3,1018.5,329,12,2
18/03/2021,8.8,12.9,4.6,0,1021.4,338,9,2
17/03/2021,8.7,12.7,4.6,0,1022.3,140,8,2
16/03/2021,8.9,12.7,5.1,0,1022.1,190,9,2
15/03/2021,9.6,12.1,7,0.1,1015.5,4,17,2
14/03/2021,10.8,14.5,7,0,1017.4,156,13,2
13/03/2021,10.5,14.9,6.1,0,1022.1,173,9,2
12/03/2021,10.5,14.9,6.1,0,1025.5,300,8,2
11/03/2021,9.5,12.7,6.3,0.6,1024.9,14,8,2
10/03/2021,8.7,12.7,4.7,0,1027.7,149,9,2
09/03/2021,6.5,11.1,1.9,0,1027.7,156,10,2
08/03/2021,3.2,7.7,-1.2,0,1027.8,158,8,2
07/03/2021,3.2,7.7,-1.2,0,1030.2,290,7,2
06/03/2021,5.6,11,0.2,0,1032.2,344,26,2
05/03/2021,7.8,11,4.7,0,1024.4,117,13,2
04/03/2021,6.9,10,3.8,0,1021,160,10,2
03/03/2021,2.8,7.4,-1.8,0,1024.3,171,13,2
02/03/2021,2.8,7.4,-1.8,0,1029.8,222,14,2
01/03/2021,4,8.5,-0.6,0.4,1024.9,338,27,2
28/02/2021,7.1,12.1,2.1,21.3,1021,75,15,2
27/02/2021,6.5,12.1,0.9,0.2,1026,115,13,2
26/02/2021,5.2,9.6,0.9,0,1025.9,339,8,2
25/02/2021,3,4.5,1.6,4.7,1023.9,3,9,2
24/02/2021,3.9,6.2,1.5,12.8,1025.2,131,8,2
23/02/2021,6,10.5,1.5,0,1029.1,122,9,2
22/02/2021,10.1,15.4,4.7,0,1025.8,12,16,2
21/02/2021,13.2,17.5,8.8,0,1007.9,152,15,2
20/02/2021,10.7,17.5,3.8,0,1008.7,170,12,2
19/02/2021,4.8,13.6,-4,0,1012.1,195,14,2
18/02/2021,1,6.5,-4.5,0,1026,210,12,2
17/02/2021,0.1,4.7,-4.5,0,1029.6,332,27,2
16/02/2021,1.4,4.7,-1.9,0,1023.8,326,26,2
15/02/2021,3,8,-1.9,0,1020.9,283,17,2
14/02/2021,8.4,11.9,5,5,1016.1,63,17,2
13/02/2021,8.8,12.7,5,0.3,1021.7,147,10,2
12/02/2021,7.4,11.4,3.4,0,1024.5,154,9,2
11/02/2021,7.2,11.2,3.3,0,1023.1,161,13,2
10/02/2021,6,11.2,0.9,0,1024.5,166,10,2
09/02/2021,2.1,6.9,-2.6,0,1026.9,183,11,2
08/02/2021,2.8,8.2,-2.6,0,1033.1,253,9,2
07/02/2021,9.2,15.8,2.6,0,1029.1,353,13,2
06/02/2021,9.9,15.8,4,0,1016.5,289,8,2
05/02/2021,4.2,9.4,-1.1,0,1016.4,175,14,2
04/02/2021,2.2,5.6,-1.1,0,1026.7,191,11,2
03/02/2021,1.1,5.3,-3.1,0,1026,254,11,2
02/02/2021,2,7.2,-3.1,0,1028.9,253,11,2
01/02/2021,5,8.9,1,0,1024.3,340,16,2
31/01/2021,6.2,9.1,3.2,0,1019.1,163,13,2
30/01/2021,1.9,9.1,-5.2,0,1024.6,131,9,2
29/01/2021,0.1,5.3,-5.2,0,1024.5,194,11,2
28/01/2021,0.7,5.8,-4.4,0,1029,320,23,2
27/01/2021,3.7,5.8,1.6,0,1023.1,185,16,2
26/01/2021,4.6,7.5,1.7,0,1025.9,332,13,2
25/01/2021,2.5,7.5,-2.4,2.3,1024,347,11,2
24/01/2021,1.6,5.5,-2.4,0,1027.1,176,5,2
23/01/2021,1.8,4.3,-0.7,0,1024.1,324,12,2
22/01/2021,4,8.6,-0.5,0,1022.9,329,14,2
21/01/2021,6.4,8.6,4.2,0,1020.8,326,13,2
20/01/2021,2.9,7.2,-1.4,0,1023.9,140,10,2
19/01/2021,2.1,5.7,-1.4,0,1029,147,17,2
18/01/2021,1.1,5.7,-3.6,0,1027.1,37,13,2
17/01/2021,-1.2,3.2,-5.7,0,1026.3,241,8,2
16/01/2021,-1.2,3.2,-5.7,0,1034.5,322,17,2
15/01/2021,3,9,-3.1,0,1025.2,348,25,2
